year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
2007,AB,Alberta,3.7,1994.4,74.5,7.1,2.9
2007,BC,British Columbia,4.4,2211.3,66.2,7.7,3.7
2007,CA,Canada,6.2,16756.8,67.5,11.0,5.2
2007,MB,Manitoba,4.6,593.1,69.1,9.4,3.5
2007,NB,New Brunswick,7.7,357.8,63.8,11.9,6.9
2007,NL,Newfoundland and Labrador,13.7,218.0,59.4,19.4,12.5
2007,NS,Nova Scotia,8.2,446.3,63.5,13.1,7.3
2007,ON,Ontario,6.4,6537.3,67.7,12.6,5.3
2007,PE,Prince Edward Island,10.6,68.2,67.8,14.2,9.5
2007,QC,Quebec,7.4,3824.1,65.6,12.4,6.5
2007,SK,Saskatchewan,4.4,506.3,69.7,7.9,3.6
2008,AB,Alberta,3.8,2050.3,74.8,7.7,3.0
2008,BC,British Columbia,4.8,2244.4,66.4,8.6,4.1
2008,CA,Canada,6.3,16996.8,67.6,11.4,5.3
2008,MB,Manitoba,4.3,602.5,69.4,8.8,3.3
2008,NB,New Brunswick,8.7,362.1,65.0,14.3,7.4
2008,NL,Newfoundland and Labrador,13.3,221.5,59.7,18.7,11.9
2008,NS,Nova Scotia,7.9,451.8,63.9,13.8,6.8
2008,ON,Ontario,6.6,6600.7,67.6,13.4,5.4
2008,PE,Prince Edward Island,11.2,68.8,68.4,16.2,9.8
2008,QC,Quebec,7.4,3876.0,65.6,11.6,6.5
2008,SK,Saskatchewan,4.2,518.7,70.1,7.6,3.6
2009,AB,Alberta,6.8,2030.2,74.6,12.3,5.8
2009,BC,British Columbia,7.8,2202.0,66.2,13.8,6.8
2009,CA,Canada,8.5,16755.4,67.3,15.1,7.3
2009,MB,Manitoba,5.4,600.1,69.2,10.1,4.4
2009,NB,New Brunswick,9.0,361.9,64.7,14.4,7.6
2009,NL,Newfoundland and Labrador,15.8,215.6,59.2,22.2,13.5
2009,NS,Nova Scotia,9.4,450.7,64.5,17.0,8.2
